ticker,master_isin,ledger_isin,listing_date,listing_date_status,result
122260,KR7122260003,KR7122260003,2010-01-14,verified_official,synced
122630,KR7122630007,KR7122630007,2010-02-22,verified_official,synced
123310,KR7123310005,KR7123310005,2010-03-29,verified_official,synced
123320,KR7123320004,KR7123320004,2010-04-09,verified_official,synced
130680,KR7130680002,KR7130680002,2010-08-02,verified_official,synced
130730,KR7130730005,KR7130730005,2010-07-29,verified_official,synced
131890,KR7131890006,KR7131890006,2010-09-17,verified_official,synced
132030,KR7132030008,KR7132030008,2010-10-01,verified_official,synced
133690,KR7133690008,KR7133690008,2010-10-18,verified_official,synced
136340,KR7136340007,KR7136340007,2011-04-15,verified_official,synced
137610,KR7137610002,KR7137610002,2011-01-11,verified_official,synced
138230,KR7138230008,KR7138230008,2011-02-24,verified_official,synced
138520,KR7138520002,KR7138520002,2011-03-07,verified_official,synced
138530,KR7138530001,KR7138530001,2011-03-10,verified_official,synced
138540,KR7138540000,KR7138540000,2011-03-10,verified_official,synced
138910,KR7138910005,KR7138910005,2011-03-15,verified_official,synced
138920,KR7138920004,KR7138920004,2011-03-15,verified_official,synced
139220,KR7139220008,KR7139220008,2011-04-06,verified_official,synced
139230,KR7139230007,KR7139230007,2011-04-06,verified_official,synced
139240,KR7139240006,KR7139240006,2011-04-06,verified_official,synced
139250,KR7139250005,KR7139250005,2011-04-06,verified_official,synced
139260,KR7139260004,KR7139260004,2011-04-06,verified_official,synced
139270,KR7139270003,KR7139270003,2011-04-06,verified_official,synced
139280,KR7139280002,KR7139280002,2011-04-06,verified_official,synced
139290,KR7139290001,KR7139290001,2011-04-06,verified_official,synced
139320,KR7139320006,KR7139320006,2011-04-08,verified_official,synced
139660,KR7139660005,KR7139660005,2011-04-01,verified_official,synced
140570,KR7140570003,KR7140570003,2011-04-15,verified_official,synced
140580,KR7140580002,KR7140580002,2011-04-15,verified_official,synced
140700,KR7140700006,KR7140700006,2011-04-26,verified_official,synced
140710,KR7140710005,KR7140710005,2011-04-26,verified_official,synced
140950,KR7140950007,KR7140950007,2011-05-03,verified_official,synced
143850,KR7143850006,KR7143850006,2011-07-18,verified_official,synced
143860,KR7143860005,KR7143860005,2011-07-18,verified_official,synced
144600,KR7144600004,KR7144600004,2011-07-18,verified_official,synced
145670,KR7145670006,KR7145670006,2011-09-08,verified_official,synced
145850,KR7145850004,KR7145850004,2011-09-23,verified_official,synced
147970,KR7147970008,KR7147970008,2011-10-26,verified_official,synced
148020,KR7148020001,KR7148020001,2011-10-20,verified_official,synced
148070,KR7148070006,KR7148070006,2011-10-20,verified_official,synced
150460,KR7150460004,KR7150460004,2011-12-16,verified_official,synced
152100,KR7152100004,KR7152100004,2012-01-10,verified_official,synced
152380,KR7152380002,KR7152380002,2012-01-20,verified_official,synced
152500,KR7152500005,KR7152500005,2012-01-27,verified_official,synced
152870,KR7152870002,KR7152870002,2012-02-13,verified_official,synced
153130,KR7153130000,KR7153130000,2012-02-22,verified_official,synced
153270,KR7153270004,KR7153270004,2012-02-28,verified_official,synced
156080,KR7156080004,KR7156080004,2012-04-30,verified_official,synced
157450,KR7157450008,KR7157450008,2012-05-16,verified_official,synced
157490,KR7157490004,KR7157490004,2012-05-16,verified_official,synced
157500,KR7157500000,KR7157500000,2012-05-16,verified_official,synced
159800,KR7159800002,KR7159800002,2012-07-05,verified_official,synced
160580,KR7160580007,KR7160580007,2012-12-17,verified_official,synced
161510,KR7161510003,KR7161510003,2012-08-29,verified_official,synced
166400,KR7166400002,KR7166400002,2012-10-25,verified_official,synced
