normalized_index_family,alias,index_family,canonical_category,canonical_topic,source_type
KRX-AKROS-AI-전력인프라-지수-5539ef0757,KRX-Akros AI 전력인프라 지수,KRX-AKROS-AI-전력인프라-지수-5539ef0757,일반주식,지수기반,normalized_master
AKROS-U-S-AI-SOFTWARE-TOP4-PLUS-지수-PRICE-RET-5432397fe1,Akros U.S. AI Software TOP4 Plus 지수 (Price Return),AKROS-U-S-AI-SOFTWARE-TOP4-PLUS-지수-PRICE-RET-5432397fe1,일반주식,지수기반,normalized_master
NYSE-FACTSET-EUROPE-DEFENSE-TOP10-INDEX-PRIC-6430f73e8e,NYSE FactSet Europe Defense TOP10 Index (Price Return),NYSE-FACTSET-EUROPE-DEFENSE-TOP10-INDEX-PRIC-6430f73e8e,일반주식,지수기반,normalized_master
ISELECT-K소버린AI-지수-03e02321e8,iSelect K소버린AI 지수,ISELECT-K소버린AI-지수-03e02321e8,일반주식,지수기반,normalized_master
FNGUIDE-K-방위산업-지수-4df066811b,FnGuide K-방위산업 지수,FNGUIDE-K-방위산업-지수-4df066811b,일반주식,지수기반,normalized_master
FNGUIDE-미국나스닥-금융채권혼합-지수-6e271c2279,FnGuide 미국나스닥 금융채권혼합 지수,FNGUIDE-미국나스닥-금융채권혼합-지수-6e271c2279,혼합자산,자산배분,normalized_master
코스피-200-타겟-7-위클리-커버드콜-지수-0c1de68b85,코스피 200 타겟 7% 위클리 커버드콜 지수,코스피-200-타겟-7-위클리-커버드콜-지수-0c1de68b85,일반주식,지수기반,normalized_master
DOW_JONES,KRX 다우존스 코리아 배당 30 타겟 7% 위클리 커버드콜 지수,DOW_JONES,일반주식,지수기반,normalized_master
KEDI-한국AI소프트웨어-지수-PR-a8b8a6ebc9,KEDI 한국AI소프트웨어 지수(PR),KEDI-한국AI소프트웨어-지수-PR-a8b8a6ebc9,일반주식,지수기반,normalized_master
FNGUIDE-코리아-고배당-지수-PR-0c56821ccb,FnGuide 코리아 고배당 지수(PR),FNGUIDE-코리아-고배당-지수-PR-0c56821ccb,배당·주주환원,고배당,normalized_master
AKROS-미국AI테크TOP10-미국고배당3070-지수-ce795d134e,Akros 미국AI테크TOP10&미국고배당3070 지수,AKROS-미국AI테크TOP10-미국고배당3070-지수-ce795d134e,배당·주주환원,고배당,normalized_master
FNGUIDE-증권-고배당-TOP3-플러스-지수-7ffaa27c8a,FnGuide 증권 고배당 TOP3 플러스 지수,FNGUIDE-증권-고배당-TOP3-플러스-지수-7ffaa27c8a,배당·주주환원,고배당,normalized_master
