ticker,standard_code,fund_name,fund_type,base_date,issuer
0141S0,K55210EQ3030,신한SOL조선기자재증권상장지수투자신탁[주식],주식형,20251215,신한자산운용
0141T0,K55210EQ3055,신한SOL중기종합채권(AA-이상)액티브증권상장지수투자신탁[채권],채권형,20251215,신한자산운용
0142D0,K55301EQ2982,미래에셋TIGER미국AI데이터센터TOP4Plus증권상장지수투자신탁(주식),주식형,20251205,미래에셋자산운용
0144L0,K55105EP9606,삼성KODEX미국성장커버드콜액티브증권상장지수투자신탁[주식-파생형],주식파생형,20251219,삼성자산운용
0144M0,K55105EP9614,삼성KODEX미국드론UAMTOP10증권상장지수투자신탁[주식],주식형,20251219,삼성자산운용
0148J0,K55301EQ3394,미래에셋TIGER코리아휴머노이드로봇산업증권상장지수투자신탁(주식),주식형,20260105,미래에셋자산운용
0150K0,K553N9EQ9994,삼성액티브KoAct수소전력ESS인프라액티브증권상장지수투자신탁[주식],주식형,20260112,삼성액티브자산운용
0151P0,K55223ER2267,KBRISE코리아전략산업액티브증권상장지수투자신탁(주식),주식형,20260119,케이비자산운용
0151S0,K55105EQ8482,삼성KODEX미국AI반도체TOP3플러스증권상장지수투자신탁[주식],주식형,20260109,삼성자산운용
0152E0,K55210ER5141,신한SOL배당성향탑픽액티브증권상장지수투자신탁[주식],주식형,20260112,신한자산운용
0153K0,K55105EQ8490,삼성KODEX주주환원고배당주증권상장지수투자신탁[주식],주식형,20260119,삼성자산운용
0153P0,K55101EP9774,한국투자ACE리츠부동산인프라액티브부동산상장지수투자신탁(재간접형),부동산,20260119,한국투자신탁운용
0153X0,K55213ER2335,한화PLUS미국고배당주액티브증권상장지수투자신탁(주식),주식형,20260123,한화자산운용
0154F0,K55107EP7079,우리WON초대형IB&amp;금융지주증권상장지수투자신탁(주식),주식형,20260119,우리자산운용
0154H0,K553N9EM6598,삼성액티브KoAct차이나바이오헬스케어액티브증권상장지수투자신탁[주식],주식형,20260123,삼성액티브자산운용
0155M0,K55101ER4245,한국투자ACE미국SMR원자력TOP10증권상장지수투자신탁(주식),주식형,20260130,한국투자신탁운용
0155N0,K55232ES4162,NH-AmundiHANAROK휴머노이드테마TOP10증권상장지수투자신탁[주식],주식형,20260225,엔에이치아문디자산운용
0162L0,K55105ER7772,삼성KODEX차이나AI반도체TOP10증권상장지수투자신탁[주식],주식형,20260224,삼성자산운용
0162M0,K55105ER7764,삼성KODEX금융채1~2년(AA-이상)PLUS액티브증권상장지수투자신탁[채권],채권형,20260225,삼성자산운용
0162Y0,K553J1ET1739,타임폴리오TIME코스닥액티브증권상장지수투자신탁(주식),주식형,20260309,타임폴리오자산운용
0162Z0,K55223ES6754,KBRISE삼성전자SK하이닉스채권혼합50증권상장지수투자신탁(채권혼합),혼합채권형,20260225,케이비자산운용
0163Y0,K553N9EU4486,삼성액티브KoAct코스닥액티브증권상장지수투자신탁[주식],주식형,20260309,삼성액티브자산운용
0164G0,K55223ER9122,KBRISE차이나AI반도체TOP4Plus증권상장지수투자신탁(주식),주식형,20260306,케이비자산운용
0166N0,K55213EN8047,한화PLUS코스닥150액티브증권상장지수투자신탁(주식),주식형,20260316,한화자산운용
0166S0,K55213ES1773,한화PLUSK제조업핵심기업액티브증권상장지수투자신탁(주식),주식형,20260323,한화자산운용
0166T0,K55213ER7714,한화PLUS글로벌저작권핵심기업액티브증권상장지수투자신탁(주식),주식형,20260327,한화자산운용
0167A0,K55210ES7146,신한SOLAI반도체TOP2플러스증권상장지수투자신탁[주식],주식형,20260316,신한자산운용
0167B0,K55210ES7153,신한SOL200타겟위클리커버드콜증권상장지수투자신탁[주식-파생형],주식파생형,20260316,신한자산운용
0167Z0,K55105ES6120,삼성KODEX미국우주항공증권상장지수투자신탁[주식],주식형,20260313,삼성자산운용
0168K0,K55301EQ3782,미래에셋TIGER기술이전바이오액티브증권상장지수투자신탁(주식),주식형,20260316,미래에셋자산운용
0172V0,K55102ET0257,하나1Q은액티브특별자산상장지수투자신탁[은-재간접형],특별자산,20260327,하나자산운용
0172Y0,K55101ES8039,한국투자ACEK수출핵심TOP10산업액티브증권상장지수투자신탁(주식),주식형,20260330,한국투자신탁운용
0173Y0,K55105ES6112,삼성KODEX미국AI광통신네트워크증권상장지수투자신탁[주식],주식형,20260327,삼성자산운용
0174B0,K553N9EU0641,삼성액티브KoAct글로벌AI메모리반도체액티브증권상장지수투자신탁[주식],주식형,20260410,삼성액티브자산운용
0174J0,K55203EP7502,대신DAISHIN오피스리츠플러스부동산상장지수투자신탁[재간접형],부동산,20260330,대신자산운용
0174R0,K55206ER7937,키움KIWOOM미국성장다우존스증권상장지수투자신탁[주식],주식형,20260327,키움투자자산운용
0176E0,K55223ER9114,KBRISE미국AI전력인프라액티브증권상장지수투자신탁(주식),주식형,20260402,케이비자산운용
0176P0,K55104ER1156,브이아이FOCUSAI반도체위클리고정커버드콜증권상장지수투자신탁[주식-파생형],주식파생형,20260406,브이아이자산운용
0177A0,K55107ET9055,우리WON두산그룹포커스증권상장지수투자신탁(주식),주식형,20260330,우리자산운용
0177N0,K55105EQ9878,삼성KODEX삼성전자SK하이닉스채권혼합50증권상장지수투자신탁[채권혼합],혼합채권형,20260403,삼성자산운용
0177R0,K55301ES2840,미래에셋TIGER반도체TOP10커버드콜액티브증권상장지수투자신탁(주식-파생형),주식파생형,20260417,미래에셋자산운용
0177X0,K55101EU0214,한국투자ACEK휴머노이드로봇산업TOP2+증권상장지수투자신탁(주식),주식형,20260406,한국투자신탁운용
0178H0,K55234ES8484,IBKIBK미국AITOP10국채혼합50증권상장지수투자신탁[채권혼합],혼합채권형,20260424,아이비케이자산운용
0180V0,K55101ET7451,한국투자ACE미국우주테크액티브증권상장지수투자신탁(주식),주식형,20260410,한국투자신탁운용
0181B0,K55232EU6940,NH-AmundiHANARO미국AI메모리반도체TOP4+증권상장지수투자신탁(주식),주식형,20260508,엔에이치아문디자산운용
0181L0,K55210ET5800,신한SOL미국우주항공TOP10증권상장지수투자신탁[주식],주식형,20260417,신한자산운용
0182R0,K55102EU0908,하나1QK반도체TOP2+증권상장지수투자신탁[주식],주식형,20260413,하나자산운용
0182S0,K55102EU0924,하나1QK반도체TOP2채권혼합50증권상장지수투자신탁[채권혼합],혼합채권형,20260413,하나자산운용
0183J0,K55301ES8102,미래에셋TIGER미국우주테크증권상장지수투자신탁(주식),주식형,20260410,미래에셋자산운용
0183V0,K55206ES9650,키움KIWOOM삼성전자&amp;SK하이닉스채권혼합50증권상장지수투자신탁[채권혼합],혼합채권형,20260420,키움투자자산운용
0184E0,K55102EU6996,하나1Q200채권혼합50액티브증권상장지수투자신탁[채권혼합],혼합채권형,20260420,하나자산운용
0184L0,K55213ES9693,한화PLUS중기종합채권(A-이상)액티브증권상장지수투자신탁(채권),채권형,20260508,한화자산운용
0184N0,K55213EU0276,한화PLUS은채권혼합증권상장지수투자신탁(채권혼합-재간접형),재간접형,20260508,한화자산운용
